time,expn,gene,gt,light,rep
57,0.853231569,PRR7,cca1lhy,LL,rep2
24,0.4118502,PRR9,Col,LL,rep1
27,1.793054461,PRR9,Col,LL,rep1
30,3.296143012,PRR9,Col,LL,rep1
33,2.177249228,PRR9,Col,LL,rep1
36,0.318715024,PRR9,Col,LL,rep1
39,0.385229899,PRR9,Col,LL,rep1
42,0.198807816,PRR9,Col,LL,rep1
45,0.368692581,PRR9,Col,LL,rep1
48,0.479574004,PRR9,Col,LL,rep1
51,1.890765614,PRR9,Col,LL,rep1
54,1.872924209,PRR9,Col,LL,rep1
57,1.955020609,PRR9,Col,LL,rep1
24,0.446643301,PRR9,rve468,LL,rep1
27,0.83336427,PRR9,rve468,LL,rep1
30,0.907960856,PRR9,rve468,LL,rep1
33,2.897705425,PRR9,rve468,LL,rep1
36,2.498979469,PRR9,rve468,LL,rep1
39,0.987012257,PRR9,rve468,LL,rep1
42,0.587643373,PRR9,rve468,LL,rep1
45,0.534835412,PRR9,rve468,LL,rep1
48,0.487153758,PRR9,rve468,LL,rep1
51,0.654565145,PRR9,rve468,LL,rep1
54,1.252365883,PRR9,rve468,LL,rep1
57,1.463027147,PRR9,rve468,LL,rep1
24,0.289275024,PRR9,cca1lhyrve468,LL,rep1
27,0.631565531,PRR9,cca1lhyrve468,LL,rep1
30,0.816439176,PRR9,cca1lhyrve468,LL,rep1
33,0.902419072,PRR9,cca1lhyrve468,LL,rep1
36,0.390722797,PRR9,cca1lhyrve468,LL,rep1
39,0.349263777,PRR9,cca1lhyrve468,LL,rep1
42,0.327604224,PRR9,cca1lhyrve468,LL,rep1
45,0.339340924,PRR9,cca1lhyrve468,LL,rep1
48,0.505447112,PRR9,cca1lhyrve468,LL,rep1
51,0.73340778,PRR9,cca1lhyrve468,LL,rep1
54,0.774041123,PRR9,cca1lhyrve468,LL,rep1
57,0.565136919,PRR9,cca1lhyrve468,LL,rep1
24,2.056176338,PRR9,cca1lhy,LL,rep1
27,2.803843027,PRR9,cca1lhy,LL,rep1
30,1.269350557,PRR9,cca1lhy,LL,rep1
33,0.604013547,PRR9,cca1lhy,LL,rep1
36,0.591244704,PRR9,cca1lhy,LL,rep1
39,0.690101609,PRR9,cca1lhy,LL,rep1
42,0.9431402,PRR9,cca1lhy,LL,rep1
45,1.518001372,PRR9,cca1lhy,LL,rep1
48,1.103510719,PRR9,cca1lhy,LL,rep1
51,0.51670236,PRR9,cca1lhy,LL,rep1
54,0.447941109,PRR9,cca1lhy,LL,rep1
57,0.522122112,PRR9,cca1lhy,LL,rep1
24,0.291880724,PRR9,Col,LL,rep2
27,1.571463409,PRR9,Col,LL,rep2
30,2.541223794,PRR9,Col,LL,rep2
33,1.639828533,PRR9,Col,LL,rep2
36,0.357260672,PRR9,Col,LL,rep2
39,0.226061622,PRR9,Col,LL,rep2
42,0.220387097,PRR9,Col,LL,rep2
45,0.23451852,PRR9,Col,LL,rep2
48,0.422799986,PRR9,Col,LL,rep2
51,1.610346861,PRR9,Col,LL,rep2
54,1.402635983,PRR9,Col,LL,rep2
57,1.611483949,PRR9,Col,LL,rep2
